entry_idx,entry_price,entry_time,direction,signal,lot_size,stop_loss,take_profit,confidence,exit_type,exit_price,exit_time,exit_idx,pnl
716,95839.4825,2025-01-08 11:00:00,SELL,-1,1.2,95839.4925,95839.4525,66.66666666666666,TP,95627.3475,2025-01-08 11:15:00,717,359.99999998603016
719,94903.2875,2025-01-08 11:45:00,BUY,1,1.2,94903.27750000001,94903.3175,100.0,TP,95101.73,2025-01-08 12:00:00,720,359.99999998603016
723,94973.945,2025-01-08 12:45:00,SELL,-1,1.2,94973.955,94973.91500000001,66.66666666666666,SL,95089.1575,2025-01-08 13:00:00,724,-119.99999993713573
726,95381.9975,2025-01-08 13:30:00,SELL,-1,1.2,95382.00749999999,95381.9675,66.66666666666666,TP,95267.04,2025-01-08 13:45:00,727,359.99999998603016
738,94813.0825,2025-01-08 16:30:00,SELL,-1,1.2,94813.0925,94813.0525,66.66666666666666,TP,94665.035,2025-01-08 16:45:00,739,359.99999998603016
739,94665.035,2025-01-08 16:45:00,SELL,-1,1.2,94665.045,94665.005,66.66666666666666,TP,94236.1325,2025-01-08 17:00:00,740,359.99999998603016
740,94236.1325,2025-01-08 17:00:00,SELL,-1,1.2,94236.1425,94236.10250000001,66.66666666666666,TP,93361.03,2025-01-08 17:15:00,741,359.99999998603016
741,93361.03,2025-01-08 17:15:00,BUY,1,1.2,93361.02,93361.06,66.66666666666666,SL,93144.94,2025-01-08 17:30:00,742,-119.99999993713573
742,93144.94,2025-01-08 17:30:00,BUY,1,1.2,93144.93000000001,93144.97,66.66666666666666,TP,93715.085,2025-01-08 17:45:00,743,359.99999998603016
745,94652.5975,2025-01-08 18:15:00,BUY,1,1.2,94652.58750000001,94652.6275,66.66666666666666,SL,94619.77,2025-01-08 18:30:00,746,-119.99999993713573
752,94006.945,2025-01-08 20:00:00,SELL,-1,1.2,94006.955,94006.91500000001,66.66666666666666,TP,93856.86,2025-01-08 20:15:00,753,359.99999998603016
753,93856.86,2025-01-08 20:15:00,BUY,1,1.2,93856.85,93856.89,66.66666666666666,TP,94041.2175,2025-01-08 20:30:00,754,359.99999998603016
759,94430.4425,2025-01-08 21:45:00,BUY,1,1.2,94430.43250000001,94430.4725,66.66666666666666,TP,94629.2975,2025-01-08 22:00:00,760,359.99999998603016
760,94629.2975,2025-01-08 22:00:00,SELL,-1,1.2,94629.3075,94629.2675,66.66666666666666,SL,94737.2225,2025-01-08 22:15:00,761,-119.99999993713573
761,94737.2225,2025-01-08 22:15:00,BUY,1,1.2,94737.21250000001,94737.2525,66.66666666666666,TP,94987.7325,2025-01-08 22:30:00,762,359.99999998603016
762,94987.7325,2025-01-08 22:30:00,BUY,1,1.2,94987.7225,94987.7625,66.66666666666666,TP,95171.28,2025-01-08 22:45:00,763,359.99999998603016
763,95171.28,2025-01-08 22:45:00,SELL,-1,1.2,95171.29,95171.25,100.0,TP,95127.7575,2025-01-08 23:00:00,764,359.99999998603016
770,94889.71,2025-01-09 00:30:00,BUY,1,1.2,94889.70000000001,94889.74,66.66666666666666,TP,95023.9275,2025-01-09 00:45:00,771,359.99999998603016
773,95197.2,2025-01-09 01:15:00,SELL,-1,1.2,95197.20999999999,95197.17,66.66666666666666,TP,95158.98,2025-01-09 01:30:00,774,359.99999998603016
776,94359.8375,2025-01-09 02:00:00,SELL,-1,1.2,94359.84749999999,94359.8075,66.66666666666666,TP,94289.2025,2025-01-09 02:15:00,777,359.99999998603016
777,94289.2025,2025-01-09 02:15:00,BUY,1,1.2,94289.1925,94289.2325,100.0,TP,94536.19,2025-01-09 02:30:00,778,359.99999998603016
782,94207.12,2025-01-09 03:30:00,BUY,1,1.2,94207.11,94207.15,66.66666666666666,SL,94051.41,2025-01-09 03:45:00,783,-119.99999993713573
783,94051.41,2025-01-09 03:45:00,SELL,-1,1.2,94051.42,94051.38,66.66666666666666,TP,93889.72,2025-01-09 04:00:00,784,359.99999998603016
784,93889.72,2025-01-09 04:00:00,BUY,1,1.2,93889.71,93889.75,66.66666666666666,TP,93918.3625,2025-01-09 04:15:00,785,359.99999998603016
