entry_idx,entry_price,entry_time,entry_bar_time,direction,signal,lot_size,stop_loss,take_profit,tp_pips,cluster_density,confidence,open_bars,exit_idx,exit_price,exit_type,exit_time,pnl,days_open,bars_open
2112,103630.1175,2025-01-23 00:00:00,2025-01-23 00:00:00,SELL,-1,1.2,103630.12749999999,103630.0686111111,488.88888888888886,0.7222222222222222,100,0,2128,102219.405,TP,2025-01-23 04:00:00,586.6666667279787,0,16
2128,102219.405,2025-01-23 04:00:00,2025-01-23 04:00:00,SELL,-1,1.2,102219.415,102219.3561111111,488.88888888888886,0.7222222222222222,100,0,2144,102219.415,SL,2025-01-23 08:00:00,-119.99999993713573,0,16
2150,101999.5925,2025-01-23 09:30:00,2025-01-23 09:30:00,SELL,-1,1.2,101999.6025,101999.5436111111,488.88888888888886,0.7222222222222222,100,0,2166,101767.095,TP,2025-01-23 13:30:00,586.6666667279787,0,16
2212,103513.765,2025-01-24 01:00:00,2025-01-24 01:00:00,BUY,1,1.2,103513.755,103513.8138888889,488.88888888888886,0.7222222222222222,100,0,2228,104748.6875,TP,2025-01-24 05:00:00,586.6666667279787,0,16
2230,104893.645,2025-01-24 05:30:00,2025-01-24 05:30:00,BUY,1,1.2,104893.63500000001,104893.6938888889,488.88888888888886,0.7222222222222222,100,0,2246,105438.6275,TP,2025-01-24 09:30:00,586.6666667279787,0,16
2246,105438.6275,2025-01-24 09:30:00,2025-01-24 09:30:00,SELL,-1,1.2,105438.6375,105438.57861111111,488.88888888888886,0.7222222222222222,100,0,2262,105138.05,TP,2025-01-24 13:30:00,586.6666667279787,0,16
2307,104420.0725,2025-01-25 00:45:00,2025-01-25 00:45:00,BUY,1,1.2,104420.0625,104420.12138888889,488.88888888888886,0.7222222222222222,100,0,2323,104668.1,TP,2025-01-25 04:45:00,586.6666667279787,0,16
2323,104668.1,2025-01-25 04:45:00,2025-01-25 04:45:00,SELL,-1,1.2,104668.11,104668.05111111111,488.88888888888886,0.7222222222222222,100,0,2339,104216.93,TP,2025-01-25 08:45:00,586.6666667279787,0,16
2339,104216.93,2025-01-25 08:45:00,2025-01-25 08:45:00,BUY,1,1.2,104216.92,104216.97888888889,488.88888888888886,0.7222222222222222,100,0,2355,104651.7925,TP,2025-01-25 12:45:00,586.6666667279787,0,16
2400,104711.79,2025-01-26 00:00:00,2025-01-26 00:00:00,SELL,-1,1.2,104711.79999999999,104711.7411111111,488.88888888888886,0.7222222222222222,100,0,2416,104711.79999999999,SL,2025-01-26 04:00:00,-119.99999993713573,0,16
2416,105017.9725,2025-01-26 04:00:00,2025-01-26 04:00:00,SELL,-1,1.2,105017.9825,105017.92361111111,488.88888888888886,0.7222222222222222,100,0,2432,105000.2025,TP,2025-01-26 08:00:00,586.6666667279787,0,16
2432,105000.2025,2025-01-26 08:00:00,2025-01-26 08:00:00,SELL,-1,1.2,105000.2125,105000.1536111111,488.88888888888886,0.7222222222222222,100,0,2448,104713.3825,TP,2025-01-26 12:00:00,586.6666667279787,0,16
2498,102627.505,2025-01-27 00:30:00,2025-01-27 00:30:00,SELL,-1,1.2,102627.515,102627.45611111111,488.88888888888886,0.7222222222222222,100,0,2514,100725.1625,TP,2025-01-27 04:30:00,586.6666667279787,0,16
2514,100725.1625,2025-01-27 04:30:00,2025-01-27 04:30:00,SELL,-1,1.2,100725.1725,100725.11361111111,488.88888888888886,0.7222222222222222,100,0,2530,98880.1075,TP,2025-01-27 08:30:00,586.6666667279787,0,16
2530,98880.1075,2025-01-27 08:30:00,2025-01-27 08:30:00,SELL,-1,1.2,98880.1175,98880.0586111111,488.88888888888886,0.7222222222222222,100,0,2546,98880.1175,SL,2025-01-27 12:30:00,-119.99999993713573,0,16
2594,102291.425,2025-01-28 00:30:00,2025-01-28 00:30:00,BUY,1,1.2,102291.41500000001,102291.4738888889,488.88888888888886,0.7222222222222222,100,0,2610,103183.94,TP,2025-01-28 04:30:00,586.6666667279787,0,16
2612,103054.95,2025-01-28 05:00:00,2025-01-28 05:00:00,BUY,1,1.2,103054.94,103054.99888888889,488.88888888888886,0.7222222222222222,100,0,2628,103054.94,SL,2025-01-28 09:00:00,-119.99999993713573,0,16
2630,102632.63749999998,2025-01-28 09:30:00,2025-01-28 09:30:00,BUY,1,1.2,102632.62749999999,102632.68638888888,488.88888888888886,0.7222222222222222,100,0,2646,102722.2525,TP,2025-01-28 13:30:00,586.6666667279787,0,16
2688,101419.8825,2025-01-29 00:00:00,2025-01-29 00:00:00,BUY,1,1.2,101419.87250000001,101419.9313888889,488.88888888888886,0.7222222222222222,100,0,2704,102056.615,TP,2025-01-29 04:00:00,586.6666667279787,0,16
2704,102056.615,2025-01-29 04:00:00,2025-01-29 04:00:00,BUY,1,1.2,102056.60500000001,102056.6638888889,488.88888888888886,0.7222222222222222,100,0,2720,102809.2975,TP,2025-01-29 08:00:00,586.6666667279787,0,16
2723,102751.775,2025-01-29 08:45:00,2025-01-29 08:45:00,SELL,-1,1.2,102751.78499999999,102751.7261111111,488.88888888888886,0.7222222222222222,100,0,2739,102281.235,TP,2025-01-29 12:45:00,586.6666667279787,0,16
2785,103582.7625,2025-01-30 00:15:00,2025-01-30 00:15:00,BUY,1,1.2,103582.7525,103582.81138888889,488.88888888888886,0.7222222222222222,100,0,2801,105069.5825,TP,2025-01-30 04:15:00,586.6666667279787,0,16
2804,105442.695,2025-01-30 05:00:00,2025-01-30 05:00:00,SELL,-1,1.2,105442.705,105442.64611111111,488.88888888888886,0.7222222222222222,100,0,2820,105140.91999999998,TP,2025-01-30 09:00:00,586.6666667279787,0,16
2820,105140.91999999998,2025-01-30 09:00:00,2025-01-30 09:00:00,SELL,-1,1.2,105140.92999999998,105140.87111111109,488.88888888888886,0.7222222222222222,100,0,2836,105062.3825,TP,2025-01-30 13:00:00,586.6666667279787,0,16
2880,104664.425,2025-01-31 00:00:00,2025-01-31 00:00:00,SELL,-1,1.2,104664.435,104664.37611111111,488.88888888888886,0.7222222222222222,100,0,2896,104270.425,TP,2025-01-31 04:00:00,586.6666667279787,0,16
2896,104270.425,2025-01-31 04:00:00,2025-01-31 04:00:00,BUY,1,1.2,104270.41500000001,104270.4738888889,488.88888888888886,0.7222222222222222,100,0,2912,104270.41500000001,SL,2025-01-31 08:00:00,-119.99999993713573,0,16
2913,104099.775,2025-01-31 08:15:00,2025-01-31 08:15:00,BUY,1,1.2,104099.765,104099.82388888889,488.88888888888886,0.7222222222222222,100,0,2929,104746.3475,TP,2025-01-31 12:15:00,586.6666667279787,0,16
2976,102439.235,2025-02-01 00:00:00,2025-02-01 00:00:00,BUY,1,1.2,102439.225,102439.2838888889,488.88888888888886,0.7222222222222222,100,0,2992,102439.225,SL,2025-02-01 04:00:00,-119.99999993713573,0,16
2992,102214.71,2025-02-01 04:00:00,2025-02-01 04:00:00,BUY,1,1.2,102214.70000000001,102214.7588888889,488.88888888888886,0.7222222222222222,100,0,3008,102214.70000000001,SL,2025-02-01 08:00:00,-119.99999993713573,0,16
3012,101885.115,2025-02-01 09:00:00,2025-02-01 09:00:00,BUY,1,1.2,101885.10500000001,101885.1638888889,488.88888888888886,0.7222222222222222,100,0,3028,102243.9375,TP,2025-02-01 13:00:00,586.6666667279787,0,16
3072,100660.65,2025-02-02 00:00:00,2025-02-02 00:00:00,BUY,1,1.2,100660.64,100660.69888888889,488.88888888888886,0.7222222222222222,100,0,3088,100660.64,SL,2025-02-02 04:00:00,-119.99999993713573,0,16
3088,99151.9225,2025-02-02 04:00:00,2025-02-02 04:00:00,BUY,1,1.2,99151.9125,99151.9713888889,488.88888888888886,0.7222222222222222,100,0,3104,99477.32,TP,2025-02-02 08:00:00,586.6666667279787,0,16
3107,99788.42250000002,2025-02-02 08:45:00,2025-02-02 08:45:00,SELL,-1,1.2,99788.43250000001,99788.37361111112,488.88888888888886,0.7222222222222222,100,0,3123,98330.3275,TP,2025-02-02 12:45:00,586.6666667279787,0,16
3168,97408.7125,2025-02-03 00:00:00,2025-02-03 00:00:00,SELL,-1,1.2,97408.72249999999,97408.6636111111,488.88888888888886,0.7222222222222222,100,0,3184,94051.565,TP,2025-02-03 04:00:00,586.6666667279787,0,16
3184,94051.565,2025-02-03 04:00:00,2025-02-03 04:00:00,BUY,1,1.2,94051.55500000001,94051.6138888889,488.88888888888886,0.7222222222222222,100,0,3200,95345.005,TP,2025-02-03 08:00:00,586.6666667279787,0,16
3201,95448.1375,2025-02-03 08:15:00,2025-02-03 08:15:00,BUY,1,1.2,95448.1275,95448.18638888889,488.88888888888886,0.7222222222222222,100,0,3217,95448.1275,SL,2025-02-03 12:15:00,-119.99999993713573,0,16
3267,101314.0625,2025-02-04 00:45:00,2025-02-04 00:45:00,SELL,-1,1.2,101314.0725,101314.0136111111,488.88888888888886,0.7222222222222222,100,0,3283,100107.3775,TP,2025-02-04 04:45:00,586.6666667279787,0,16
3284,99585.72,2025-02-04 05:00:00,2025-02-04 05:00:00,SELL,-1,1.2,99585.73,99585.6711111111,488.88888888888886,0.7222222222222222,100,0,3300,98403.975,TP,2025-02-04 09:00:00,586.6666667279787,0,16
3300,98403.975,2025-02-04 09:00:00,2025-02-04 09:00:00,BUY,1,1.2,98403.96500000001,98404.0238888889,488.88888888888886,0.7222222222222222,100,0,3316,99386.2775,TP,2025-02-04 13:00:00,586.6666667279787,0,16
3360,97863.4975,2025-02-05 00:00:00,2025-02-05 00:00:00,SELL,-1,1.2,97863.50749999999,97863.4486111111,488.88888888888886,0.7222222222222222,100,0,3376,97863.50749999999,SL,2025-02-05 04:00:00,-119.99999993713573,0,16
3376,98045.0975,2025-02-05 04:00:00,2025-02-05 04:00:00,SELL,-1,1.2,98045.1075,98045.04861111111,488.88888888888886,0.7222222222222222,100,0,3392,97869.6575,TP,2025-02-05 08:00:00,586.6666667279787,0,16
3392,97869.6575,2025-02-05 08:00:00,2025-02-05 08:00:00,BUY,1,1.2,97869.6475,97869.7063888889,488.88888888888886,0.7222222222222222,100,0,3408,98271.23,TP,2025-02-05 12:00:00,586.6666667279787,0,16
3456,96663.0575,2025-02-06 00:00:00,2025-02-06 00:00:00,BUY,1,1.2,96663.0475,96663.10638888889,488.88888888888886,0.7222222222222222,100,0,3472,97360.945,TP,2025-02-06 04:00:00,586.6666667279787,0,16
3473,97560.1325,2025-02-06 04:15:00,2025-02-06 04:15:00,BUY,1,1.2,97560.12250000001,97560.1813888889,488.88888888888886,0.7222222222222222,100,0,3489,98100.8425,TP,2025-02-06 08:15:00,586.6666667279787,0,16
3491,98083.39,2025-02-06 08:45:00,2025-02-06 08:45:00,BUY,1,1.2,98083.38,98083.4388888889,488.88888888888886,0.7222222222222222,100,0,3507,98424.8725,TP,2025-02-06 12:45:00,586.6666667279787,0,16
3552,96752.78,2025-02-07 00:00:00,2025-02-07 00:00:00,BUY,1,1.2,96752.77,96752.8288888889,488.88888888888886,0.7222222222222222,100,0,3568,97560.48500000002,TP,2025-02-07 04:00:00,586.6666667279787,0,16
3571,97510.605,2025-02-07 04:45:00,2025-02-07 04:45:00,SELL,-1,1.2,97510.61499999999,97510.5561111111,488.88888888888886,0.7222222222222222,100,0,3587,97109.2825,TP,2025-02-07 08:45:00,586.6666667279787,0,16
3589,97270.87,2025-02-07 09:15:00,2025-02-07 09:15:00,BUY,1,1.2,97270.86,97270.91888888889,488.88888888888886,0.7222222222222222,100,0,3605,97609.2575,TP,2025-02-07 13:15:00,586.6666667279787,0,16
3649,96646.4575,2025-02-08 00:15:00,2025-02-08 00:15:00,BUY,1,1.2,96646.44750000001,96646.5063888889,488.88888888888886,0.7222222222222222,100,0,3665,96646.44750000001,SL,2025-02-08 04:15:00,-119.99999993713573,0,16
3665,96592.095,2025-02-08 04:15:00,2025-02-08 04:15:00,SELL,-1,1.2,96592.105,96592.0461111111,488.88888888888886,0.7222222222222222,100,0,3681,96176.3825,TP,2025-02-08 08:15:00,586.6666667279787,0,16
